Weekday,hour,minute,day_of_year,Quantity-1,Power
4,14,42,204,681255678.0,1135182685.0
4,21,8,211,1723921853.0,412614696.0
3,18,33,196,1055673024.0,523366532.0
5,15,9,331,1089399612.0,838724688.0
1,22,52,236,501634498.0,419247372.0
2,8,33,286,515044290.0,326994762.0
2,7,5,258,627066540.0,464965032.0
0,10,41,207,1135182685.0,751495309.0
5,9,3,282,412614696.0,1045661193.0
3,7,14,336,523366532.0,456377250.0
0,4,29,333,838724688.0,353849880.0
5,10,29,212,419247372.0,408157534.0
3,9,44,196,326994762.0,1027130844.0
0,3,45,312,464965032.0,325708411.0
3,7,38,231,751495309.0,558969580.0
0,19,41,200,1045661193.0,523571656.0
5,0,14,268,456377250.0,500759782.0
1,10,16,208,353849880.0,722944422.0
4,8,4,351,408157534.0,484871756.0
3,20,3,245,1027130844.0,466632472.0
2,10,12,349,325708411.0,1371419568.0
1,6,26,306,558969580.0,475022953.0
3,2,47,322,523571656.0,482659774.0
2,9,44,314,500759782.0,1194124678.0
1,21,45,334,722944422.0,698023810.0
0,5,2,221,484871756.0,310755448.0
2,12,35,279,466632472.0,1655046067.0
5,2,18,296,1371419568.0,375424932.0
2,7,42,258,475022953.0,618909780.0
3,15,7,301,482659774.0,1742740500.0
5,15,3,205,1194124678.0,548126336.0
3,23,22,224,698023810.0,377031771.0
4,0,42,239,310755448.0,458831296.0
2,0,51,293,1655046067.0,379251848.0
5,20,44,205,375424932.0,355637576.0
5,16,7,331,618909780.0,672247584.0
1,21,29,299,1742740500.0,459383384.0
2,1,22,300,548126336.0,608350323.0
1,18,0,257,377031771.0,544497102.0
4,3,31,344,458831296.0,291099968.0
5,10,13,240,379251848.0,1536049410.0
2,4,37,251,355637576.0,318571645.0
4,0,49,246,672247584.0,331115532.0
1,5,51,341,459383384.0,349382253.0
1,21,18,320,608350323.0,539108753.0
3,10,51,273,544497102.0,1719489631.0
5,9,15,303,291099968.0,445607706.0
1,0,14,222,1536049410.0,389743816.0
3,20,10,196,318571645.0,495071180.0
3,0,15,357,331115532.0,508984896.0
5,15,27,289,349382253.0,629282055.0
4,9,20,190,539108753.0,709871589.0
2,6,59,307,1719489631.0,495291472.0
3,3,29,329,445607706.0,387387628.0
5,17,34,282,389743816.0,518863228.0
4,6,14,267,495071180.0,456284254.0
1,16,35,271,508984896.0,1089556536.0
5,3,23,226,629282055.0,386530424.0
2,19,52,258,709871589.0,508251243.0
2,15,16,356,495291472.0,1198347204.0
3,16,49,217,387387628.0,856787634.0
2,3,50,216,518863228.0,351634814.0
4,2,43,281,456284254.0,527753838.0
0,12,31,256,1089556536.0,1617876648.0
3,9,51,273,386530424.0,1566800804.0
3,10,6,259,508251243.0,1390453700.0
1,9,53,250,1198347204.0,1535194428.0
2,13,34,258,856787634.0,1262389812.0
2,11,16,251,351634814.0,1475233435.0
2,12,41,272,527753838.0,1836415492.0
4,17,22,218,1617876648.0,719098206.0
4,20,22,190,1566800804.0,497510410.0
5,3,25,331,1390453700.0,332308455.0
0,20,50,249,1535194428.0,326007676.0
4,7,0,211,1262389812.0,339199744.0
5,2,26,261,1475233435.0,0.0
5,18,57,226,1836415492.0,446116594.0
1,12,55,208,719098206.0,794240748.0
2,13,45,272,497510410.0,1462065255.0
3,8,54,357,332308455.0,927916050.0
5,16,10,324,326007676.0,821148900.0
2,7,52,216,339199744.0,462025503.0
2,8,23,216,0.0,629400804.0
3,21,3,238,446116594.0,651970879.0
4,0,54,330,794240748.0,337134076.0
2,17,0,237,1462065255.0,1343427912.0
5,9,42,268,927916050.0,1374311790.0
5,18,23,247,821148900.0,449261418.0
5,1,24,303,462025503.0,488918995.0
1,8,38,292,629400804.0,802328940.0
3,23,43,196,651970879.0,319447356.0
3,0,15,329,337134076.0,555545160.0
1,3,39,292,1343427912.0,334972998.0
0,18,49,312,1374311790.0,652594440.0
3,22,27,259,449261418.0,514728102.0
2,16,20,300,488918995.0,1339363558.0
2,6,57,223,802328940.0,388814274.0
2,0,14,279,319447356.0,547681281.0
5,9,52,212,555545160.0,371501175.0
0,15,9,214,334972998.0,1307544164.0
5,0,49,317,652594440.0,420730533.0
2,8,34,293,514728102.0,770650786.0
2,0,52,251,1339363558.0,350488138.0
3,11,33,350,388814274.0,1341912158.0
0,8,2,256,547681281.0,610826544.0
5,6,7,191,371501175.0,325027941.0
2,9,54,335,1307544164.0,1236479977.0
5,22,42,345,420730533.0,472056940.0
5,21,17,261,770650786.0,507267200.0
3,4,47,245,350488138.0,355189824.0
4,15,50,344,1341912158.0,1109112715.0
0,23,13,228,610826544.0,302848363.0
5,1,43,282,325027941.0,319554677.0
4,16,2,281,1236479977.0,1296093615.0
2,17,56,307,472056940.0,909937137.0
2,19,42,251,507267200.0,773441730.0
5,22,18,310,355189824.0,414241126.0
3,12,15,217,1109112715.0,1510513440.0
1,22,23,285,302848363.0,370031609.0
0,3,6,312,319554677.0,328988262.0
4,14,53,316,1296093615.0,1687291068.0
4,5,19,218,909937137.0,424543076.0
4,16,4,211,773441730.0,1192499983.0
2,20,54,244,414241126.0,580087762.0
0,12,41,291,1510513440.0,1545368571.0
1,4,24,229,370031609.0,354869912.0
1,6,23,334,328988262.0,484358115.0
2,5,30,244,1687291068.0,395059918.0
5,1,25,205,424543076.0,329697968.0
3,16,41,329,1192499983.0,1268768022.0
4,4,54,274,580087762.0,457778550.0
5,18,59,268,1545368571.0,629774542.0
5,14,2,233,354869912.0,938058900.0
4,16,43,323,484358115.0,1479120208.0
4,14,9,246,395059918.0,353824583.0
4,3,31,239,329697968.0,414121789.0
4,11,45,351,1268768022.0,1225158905.0
1,23,29,208,457778550.0,315717075.0
2,17,52,335,629774542.0,826861610.0
2,21,13,342,938058900.0,511159052.0
5,8,25,282,1479120208.0,695276200.0
5,17,39,226,353824583.0,483176688.0
5,3,25,233,414121789.0,429910924.0
0,19,40,305,1225158905.0,469446298.0
5,8,57,282,315717075.0,1106239290.0
4,16,52,218,826861610.0,733144912.0
4,22,40,260,511159052.0,449722274.0
1,19,17,348,695276200.0,509363600.0
4,14,9,344,483176688.0,1315995324.0
2,5,29,195,429910924.0,313307032.0
2,20,6,300,469446298.0,655401168.0
1,19,40,278,1106239290.0,674108062.0
4,11,3,190,733144912.0,1128443032.0
1,22,29,208,449722274.0,313103540.0
3,3,34,259,509363600.0,425539336.0
5,19,48,212,1315995324.0,371547165.0
4,6,28,288,313307032.0,552138558.0
5,4,28,254,655401168.0,384171740.0
0,23,52,193,674108062.0,314080096.0
1,14,45,208,1128443032.0,754111368.0
3,18,58,238,313103540.0,822235608.0
2,14,11,293,425539336.0,1760303106.0
0,19,56,221,371547165.0,575911677.0
5,1,8,352,552138558.0,344966094.0
3,2,5,336,384171740.0,382237823.0
0,20,21,235,314080096.0,577601172.0
4,22,36,218,754111368.0,341955172.0
2,16,22,265,822235608.0,1440646092.0
4,13,1,267,1760303106.0,1783258616.0
5,14,25,226,575911677.0,728114616.0
2,4,37,258,344966094.0,409965794.0
4,13,0,274,382237823.0,505526146.0
1,8,39,257,577601172.0,348958246.0
3,9,28,294,341955172.0,1215644705.0
1,19,25,194,1440646092.0,516033177.0
4,10,39,246,1783258616.0,334147552.0
2,12,9,293,728114616.0,1447226545.0
5,4,40,254,409965794.0,359105640.0
2,2,24,244,505526146.0,368236326.0
2,16,38,321,348958246.0,1294702506.0
2,12,47,300,1215644705.0,1725970376.0
5,3,43,331,516033177.0,484365450.0
1,14,6,250,334147552.0,1197431492.0
5,12,56,317,1447226545.0,1388622541.0
0,8,26,193,359105640.0,657558020.0
0,8,0,354,368236326.0,536073860.0
1,14,8,278,1294702506.0,1729299282.0
2,20,35,202,1725970376.0,398083688.0
2,15,14,202,484365450.0,1241022747.0
5,19,42,324,1197431492.0,447012266.0
5,23,41,289,1388622541.0,341134176.0
5,22,18,275,657558020.0,405775304.0
0,10,12,340,536073860.0,1571466772.0
3,4,14,252,1729299282.0,376731380.0
4,6,36,323,398083688.0,343797668.0
5,6,9,261,1241022747.0,402918948.0
2,20,33,237,447012266.0,556934264.0
3,2,16,231,341134176.0,366150260.0
5,18,22,212,405775304.0,345212912.0
5,12,46,331,1571466772.0,1649881104.0
5,5,28,247,376731380.0,348070374.0
4,4,18,323,343797668.0,376255108.0
3,16,51,287,402918948.0,536335295.0
0,21,10,214,556934264.0,426046582.0
2,7,44,314,366150260.0,731614393.0
5,0,37,198,345212912.0,330186048.0
0,7,39,319,1649881104.0,567817844.0
2,21,38,300,348070374.0,665840074.0
4,22,17,281,376255108.0,370177083.0
5,20,24,352,536335295.0,717730076.0
0,2,14,312,426046582.0,365509050.0
4,8,51,232,731614393.0,1231453260.0
4,14,13,267,330186048.0,1635780936.0
1,15,47,257,567817844.0,445520000.0
2,11,42,356,665840074.0,1186781364.0
3,6,15,245,370177083.0,374722809.0
4,18,25,351,717730076.0,545692820.0
3,15,32,259,365509050.0,1467952958.0
5,3,43,247,1231453260.0,319799124.0
2,15,2,335,1635780936.0,1479864363.0
1,13,34,243,445520000.0,1386038848.0
3,15,46,217,1186781364.0,1345527088.0
1,9,58,236,374722809.0,1613477376.0
5,16,16,296,545692820.0,956876565.0
5,14,34,233,1467952958.0,746608763.0
4,8,53,281,319799124.0,1191127406.0
3,11,42,203,1479864363.0,1346293755.0
3,4,24,196,1386038848.0,352444227.0
1,9,39,250,1345527088.0,1318261803.0
4,2,7,246,1613477376.0,369775406.0
0,0,15,221,956876565.0,313586490.0
1,15,23,299,746608763.0,1716684722.0
2,23,45,244,1191127406.0,316324392.0
2,20,43,307,1346293755.0,545531998.0
2,5,25,293,352444227.0,388350808.0
4,19,45,267,1318261803.0,674446379.0
4,17,50,211,369775406.0,798805382.0
3,15,31,287,313586490.0,641146542.0
2,13,47,265,1716684722.0,1517235768.0
4,5,58,295,316324392.0,310412460.0
1,4,13,222,545531998.0,395588431.0
0,4,24,347,388350808.0,324150664.0
4,20,57,330,674446379.0,422060761.0
0,1,10,263,798805382.0,377143526.0
2,22,19,279,641146542.0,414762974.0
4,8,52,288,1517235768.0,568649953.0
1,3,8,243,310412460.0,376415052.0
2,22,52,279,395588431.0,621206442.0
1,21,53,229,324150664.0,542779170.0
4,15,27,337,422060761.0,1726732350.0
2,9,52,251,377143526.0,1467863624.0
4,6,46,267,414762974.0,509201044.0
0,9,32,256,568649953.0,1236217470.0
3,5,8,343,376415052.0,519931483.0
4,9,39,253,621206442.0,360974770.0
2,19,50,265,542779170.0,668917225.0
4,18,9,218,1726732350.0,577331796.0
5,1,1,282,1467863624.0,339157968.0
3,13,24,329,509201044.0,1544561090.0
4,15,40,260,1236217470.0,1232299400.0
4,23,43,351,519931483.0,346040060.0
1,6,25,194,360974770.0,305862726.0
1,19,15,250,668917225.0,882889170.0
5,8,55,345,577331796.0,999819318.0
5,4,3,282,339157968.0,343619710.0
5,18,16,261,1544561090.0,494923560.0
1,1,29,201,1232299400.0,337356634.0
1,5,37,292,346040060.0,384097654.0
3,20,11,224,305862726.0,568284754.0
5,16,41,338,882889170.0,884122558.0
5,23,31,254,999819318.0,373003650.0
1,7,2,355,343619710.0,472276589.0
0,4,35,270,494923560.0,349517527.0
5,16,44,261,337356634.0,700617538.0
5,4,57,198,384097654.0,317567238.0
2,13,46,216,568284754.0,1346040580.0
4,15,34,232,884122558.0,1404426088.0
3,6,47,259,373003650.0,438682134.0
2,22,33,230,472276589.0,414774517.0
3,20,3,322,349517527.0,555872772.0
3,13,54,343,700617538.0,1281174674.0
4,13,39,246,317567238.0,483739660.0
5,20,15,352,1346040580.0,547046292.0
0,3,0,263,1404426088.0,322502284.0
0,18,11,193,438682134.0,644963044.0
4,11,49,204,414774517.0,1399017333.0
0,9,32,200,555872772.0,667898499.0
4,11,9,267,1281174674.0,1711450494.0
5,3,34,205,483739660.0,330890732.0
1,2,22,271,547046292.0,385610484.0
3,13,30,217,322502284.0,1424559234.0
2,9,23,244,644963044.0,1266683070.0
1,13,29,264,1399017333.0,1700050110.0
5,22,13,324,667898499.0,390572360.0
0,9,36,298,1711450494.0,1467920136.0
3,0,57,231,330890732.0,332488836.0
4,23,33,302,385610484.0,0.0
2,1,19,216,1424559234.0,345174708.0
0,5,5,312,1266683070.0,343050047.0
2,0,18,265,1700050110.0,347820214.0
3,18,22,238,390572360.0,887980157.0
3,6,36,252,1467920136.0,340420348.0
4,20,23,267,332488836.0,815971964.0
3,4,38,350,0.0,347565678.0
3,0,17,336,345174708.0,497261980.0
2,2,16,258,343050047.0,352499332.0
0,5,47,228,347820214.0,297016404.0
3,5,13,217,887980157.0,288836984.0
1,10,46,208,340420348.0,784452351.0
5,7,45,261,815971964.0,907478748.0
1,22,37,250,347565678.0,404000537.0
3,16,21,357,497261980.0,1038943716.0
3,20,19,287,352499332.0,465581061.0
2,9,26,244,297016404.0,1246694508.0
0,23,0,312,288836984.0,461457346.0
2,14,50,265,784452351.0,1536240248.0
1,19,3,257,907478748.0,373017296.0
5,16,10,289,404000537.0,488613254.0
1,12,24,292,1038943716.0,1375154530.0
2,14,23,209,465581061.0,1248644592.0
3,16,39,238,1246694508.0,1383492837.0
1,3,23,250,461457346.0,343495526.0
1,17,1,243,1536240248.0,1279433035.0
5,21,12,254,373017296.0,524161244.0
2,18,27,251,488613254.0,776869140.0
3,19,15,329,1375154530.0,710486704.0
0,3,17,319,1248644592.0,378571192.0
3,21,29,322,1383492837.0,0.0
0,22,28,277,343495526.0,505294426.0
2,14,34,342,1279433035.0,1376733871.0
1,23,48,313,524161244.0,512283317.0
3,2,28,189,776869140.0,325811328.0
3,15,7,357,710486704.0,1136223500.0
0,1,31,347,378571192.0,478751050.0
1,22,19,355,0.0,346708268.0
4,23,47,274,505294426.0,506782032.0
4,5,16,309,1376733871.0,507316635.0
4,14,57,309,512283317.0,1826886646.0
5,8,54,268,325811328.0,1093340710.0
4,16,25,232,1136223500.0,1165741168.0
5,20,47,226,478751050.0,485094591.0
2,0,37,216,346708268.0,365418800.0
0,0,42,214,506782032.0,391182433.0
3,18,18,280,507316635.0,629320690.0
4,15,22,295,1826886646.0,1535609662.0
2,17,42,293,1093340710.0,705017712.0
3,18,9,196,1165741168.0,525912208.0
5,3,59,254,485094591.0,537497852.0
2,2,31,300,365418800.0,378363097.0
1,13,40,306,391182433.0,439624405.0
0,22,52,200,629320690.0,313748400.0
1,7,16,320,1535609662.0,476872520.0
0,9,18,354,705017712.0,1131645848.0
4,1,36,190,525912208.0,321020911.0
5,21,24,352,537497852.0,502923335.0
4,16,4,197,378363097.0,1172820060.0
4,8,47,281,439624405.0,875791965.0
1,1,41,257,313748400.0,481513914.0
3,1,30,245,476872520.0,534061760.0
4,23,59,260,1131645848.0,354508983.0
1,11,13,292,321020911.0,1566987600.0
3,0,42,350,502923335.0,456212832.0
0,19,32,347,1172820060.0,545231946.0
5,5,32,282,875791965.0,322343968.0
4,2,41,239,481513914.0,444988800.0
1,11,58,222,534061760.0,1565304986.0
1,19,1,215,354508983.0,518696676.0
3,21,4,224,1566987600.0,403012364.0
4,18,29,295,456212832.0,784253146.0
3,1,43,189,545231946.0,324388610.0
3,9,46,294,322343968.0,1526937846.0
1,19,6,215,444988800.0,538075477.0
3,23,30,245,1565304986.0,330633182.0
1,17,45,236,518696676.0,874412880.0
1,16,34,194,403012364.0,880360824.0
4,0,50,218,784253146.0,423559641.0
2,12,31,209,324388610.0,1220542294.0
0,14,32,256,1526937846.0,1025841653.0
0,14,1,284,538075477.0,493084927.0
5,1,26,212,330633182.0,369194512.0
2,10,35,265,874412880.0,1421824290.0
4,1,13,225,880360824.0,476453721.0
2,10,49,265,423559641.0,1453600760.0
2,16,6,251,1220542294.0,1416070040.0
4,22,57,246,1025841653.0,533762115.0
3,18,49,259,493084927.0,731499282.0
0,17,11,228,369194512.0,366400924.0
0,5,26,319,1421824290.0,366559520.0
1,17,42,320,476453721.0,823347624.0
3,13,12,238,1453600760.0,1559595245.0
2,3,51,342,1416070040.0,467282784.0
5,20,49,352,533762115.0,544544382.0
3,13,34,245,731499282.0,1415837432.0
1,19,17,264,366400924.0,757785555.0
4,9,2,351,366559520.0,935843319.0
1,18,50,271,823347624.0,753601420.0
1,23,1,348,1559595245.0,597158094.0
0,18,41,298,467282784.0,967217454.0
1,17,59,229,544544382.0,737098444.0
4,8,48,218,1415837432.0,806055066.0
5,1,45,268,757785555.0,388219642.0
2,4,27,223,935843319.0,374177688.0
2,22,28,314,753601420.0,575124880.0
1,8,28,208,597158094.0,501463836.0
1,12,1,285,967217454.0,354077348.0
0,17,24,340,737098444.0,771570225.0
3,12,6,210,806055066.0,1468382518.0
3,0,32,350,388219642.0,342226624.0
3,17,27,329,374177688.0,721595213.0
5,15,17,233,575124880.0,678177232.0
3,5,23,210,501463836.0,384116972.0
5,0,7,261,354077348.0,517912083.0
3,0,30,287,771570225.0,333847701.0
2,1,28,230,1468382518.0,393431910.0
3,15,34,245,342226624.0,1481196246.0
2,20,5,265,721595213.0,628452820.0
4,1,23,295,678177232.0,591944212.0
3,15,34,217,384116972.0,1172150337.0
2,18,23,230,517912083.0,767409665.0
1,18,0,201,333847701.0,556630288.0
2,5,1,300,393431910.0,376867318.0
4,15,40,253,1481196246.0,562154373.0
4,21,39,190,628452820.0,493459584.0
2,6,25,307,591944212.0,486024144.0
2,13,45,321,1172150337.0,1512510318.0
4,16,38,246,767409665.0,611646801.0
5,15,52,289,556630288.0,386068061.0
2,12,32,223,376867318.0,1375257525.0
0,15,58,319,562154373.0,1464588895.0
0,15,12,305,493459584.0,358101555.0
3,23,39,252,486024144.0,383222706.0
2,10,49,202,1512510318.0,967947830.0
0,18,57,228,611646801.0,349404308.0
3,14,35,280,386068061.0,1339019134.0
4,0,34,302,1375257525.0,473370989.0
2,15,40,202,1464588895.0,1224000164.0
2,3,23,216,358101555.0,353622251.0
4,22,7,232,383222706.0,0.0
5,13,15,324,967947830.0,1321234152.0
2,16,10,349,349404308.0,1100909674.0
2,21,43,237,1339019134.0,689921198.0
5,22,52,289,473370989.0,480308217.0
3,19,21,336,1224000164.0,706168854.0
0,11,23,207,353622251.0,862069555.0
5,17,11,282,0.0,581490227.0
0,13,54,298,1321234152.0,1636973754.0
2,16,2,314,1100909674.0,1250893260.0
1,18,52,250,689921198.0,722891700.0
2,5,7,265,480308217.0,535917518.0
2,6,14,223,706168854.0,459617275.0
2,0,57,216,862069555.0,350917698.0
2,11,16,195,581490227.0,1036276216.0
3,6,30,308,1636973754.0,505308726.0
1,7,3,236,1250893260.0,371950077.0
3,13,45,336,722891700.0,1209847206.0
0,22,10,270,535917518.0,424157234.0
0,8,36,207,459617275.0,547030633.0
5,17,43,296,350917698.0,821066232.0
5,7,13,247,1036276216.0,455358840.0
1,3,28,264,505308726.0,405160242.0
2,14,4,223,371950077.0,1529012025.0
2,4,54,216,1209847206.0,348307842.0
1,11,8,250,424157234.0,1591247120.0
0,0,12,354,547030633.0,487884192.0
0,17,44,228,821066232.0,301838562.0
1,3,22,341,455358840.0,343781647.0
1,2,3,320,405160242.0,466424614.0
0,14,13,270,1529012025.0,1702950297.0
0,14,20,284,348307842.0,496499021.0
1,20,56,306,1591247120.0,358750857.0
2,2,46,335,487884192.0,473587764.0
5,5,37,352,301838562.0,327550837.0
2,9,49,237,343781647.0,1489064881.0
5,18,0,331,466424614.0,779705042.0
5,13,13,261,1702950297.0,1210337572.0
0,20,15,298,496499021.0,596904858.0
1,20,52,215,358750857.0,380814168.0
1,17,17,299,473587764.0,864063666.0
0,13,24,298,327550837.0,1545844074.0
5,1,16,240,1489064881.0,413957832.0
5,12,13,219,779705042.0,1274804464.0
5,8,23,212,1210337572.0,492761892.0
4,1,43,323,596904858.0,365455627.0
3,18,9,224,380814168.0,689436015.0
4,16,42,302,864063666.0,1208601924.0
5,7,42,219,1545844074.0,456895476.0
1,20,50,208,413957832.0,341209964.0
5,16,38,275,1274804464.0,775742564.0
0,22,27,256,492761892.0,365593392.0
3,18,33,252,365455627.0,732528939.0
2,0,48,244,689436015.0,365903704.0
5,20,59,212,1208601924.0,362889111.0
3,2,36,266,456895476.0,531761160.0
0,21,4,235,341209964.0,688343796.0
5,6,7,198,775742564.0,322237491.0
2,7,11,230,365593392.0,1052009057.0
0,7,10,193,732528939.0,449888996.0
5,14,53,289,365903704.0,410973864.0
1,21,33,222,362889111.0,462903412.0
1,6,3,271,531761160.0,352458850.0
2,8,29,328,688343796.0,711702039.0
2,15,39,216,322237491.0,1201000896.0
1,13,30,313,1052009057.0,1504973849.0
2,13,10,286,449888996.0,503258732.0
4,1,28,323,410973864.0,577841355.0
1,6,6,264,462903412.0,366254188.0
0,21,2,242,352458850.0,559094205.0
4,5,57,197,711702039.0,301751574.0
5,23,2,233,1201000896.0,598058982.0
4,0,6,316,1504973849.0,592224110.0
5,7,9,198,503258732.0,354526844.0
4,21,16,246,577841355.0,390858962.0
4,22,0,330,366254188.0,505163062.0
0,17,43,200,559094205.0,634250816.0
4,13,41,204,301751574.0,1191922616.0
0,1,45,270,598058982.0,350565269.0
3,21,25,266,592224110.0,691137451.0
3,22,47,273,354526844.0,448911964.0
1,22,15,327,390858962.0,468777866.0
0,14,28,312,505163062.0,1420024233.0
5,19,24,282,634250816.0,514008264.0
4,12,25,218,1191922616.0,1302450462.0
1,14,30,264,350565269.0,1615877094.0
2,1,53,286,691137451.0,327069972.0
4,0,36,218,448911964.0,432565194.0
1,7,1,243,468777866.0,362763633.0
3,9,0,357,1420024233.0,1037809096.0
2,2,6,321,514008264.0,369715128.0
4,8,28,260,1302450462.0,799332286.0
3,12,47,308,1615877094.0,1982226480.0
5,11,2,289,327069972.0,486059164.0
3,13,17,196,432565194.0,1023459909.0
3,18,43,280,362763633.0,545412482.0
1,6,20,306,1037809096.0,497042272.0
1,12,21,285,369715128.0,515766138.0
0,19,4,242,799332286.0,822220770.0
1,15,29,208,1982226480.0,728476920.0
4,16,1,246,486059164.0,505485517.0
3,21,27,322,1023459909.0,495475357.0
1,21,10,278,545412482.0,472985149.0
5,17,1,303,497042272.0,301009785.0
1,5,17,299,515766138.0,453696972.0
1,19,19,292,822220770.0,799564986.0
3,20,53,259,728476920.0,461058756.0
5,20,14,303,505485517.0,448281673.0
4,10,58,246,495475357.0,482579748.0
2,13,52,328,472985149.0,1556120760.0
4,2,27,316,301009785.0,440750280.0
3,3,17,252,453696972.0,368990555.0
1,0,19,236,799564986.0,405004052.0
1,11,9,292,461058756.0,1577908606.0
3,14,50,245,448281673.0,1695458794.0
2,2,2,300,482579748.0,383718423.0
5,20,55,212,1556120760.0,328052792.0
4,11,18,218,440750280.0,1369991553.0
0,9,13,249,368990555.0,455035429.0
5,21,11,324,405004052.0,513879411.0
4,5,9,309,1577908606.0,599060743.0
3,18,8,252,1695458794.0,799187191.0
3,11,5,259,383718423.0,1376497932.0
4,5,58,351,328052792.0,348269512.0
2,23,32,237,1369991553.0,503247060.0
4,15,54,274,455035429.0,510017580.0
2,16,9,209,513879411.0,1070957782.0
3,13,13,294,599060743.0,1843321055.0
3,16,31,189,799187191.0,519781082.0
0,23,40,298,1376497932.0,480642347.0
0,16,17,354,348269512.0,1037532156.0
4,17,0,253,503247060.0,544397966.0
5,17,56,191,510017580.0,484472708.0
3,10,10,350,1070957782.0,1297277368.0
0,0,11,221,1843321055.0,292950992.0
2,10,10,272,519781082.0,1640482296.0
1,14,3,215,480642347.0,1151384736.0
0,14,29,291,1037532156.0,1339384648.0
2,2,14,244,544397966.0,361070917.0
5,23,45,352,484472708.0,306460742.0
4,9,27,246,1297277368.0,357296949.0
4,8,29,281,292950992.0,713826430.0
5,23,34,233,1640482296.0,433759308.0
3,23,55,252,1151384736.0,387170865.0
4,17,56,302,1339384648.0,741363798.0
3,4,28,308,361070917.0,348178610.0
4,15,49,218,306460742.0,1124665598.0
4,21,40,330,357296949.0,570876432.0
0,4,12,221,713826430.0,430153572.0
2,11,22,279,433759308.0,1649600515.0
2,1,49,349,387170865.0,374056377.0
2,22,17,202,741363798.0,383539006.0
5,13,39,240,348178610.0,1023112130.0
5,21,55,247,1124665598.0,471640667.0
0,1,7,284,570876432.0,386357434.0
5,3,16,303,430153572.0,326498520.0
3,3,47,329,1649600515.0,365096255.0
4,10,15,302,374056377.0,1623031977.0
0,21,57,207,383539006.0,390748294.0
5,23,58,226,1023112130.0,321668349.0
5,16,39,282,471640667.0,613741524.0
4,8,39,246,386357434.0,331215141.0
1,3,1,236,326498520.0,404587796.0
2,6,39,286,365096255.0,354059694.0
1,1,45,334,1623031977.0,366538429.0
0,21,11,228,390748294.0,331165180.0
0,3,32,249,321668349.0,326366680.0
2,0,8,356,613741524.0,492291688.0
0,15,7,291,331215141.0,1289343621.0
3,15,7,210,404587796.0,1378315743.0
1,14,7,292,354059694.0,1683439750.0
1,6,4,201,366538429.0,323181590.0
2,8,7,195,331165180.0,546858640.0
5,20,34,226,326366680.0,503514186.0
0,1,21,284,492291688.0,539165894.0
5,8,15,261,1289343621.0,597194531.0
0,8,57,347,1378315743.0,837667180.0
1,17,2,208,1683439750.0,687583114.0
3,14,39,350,323181590.0,1294143010.0
1,0,37,355,546858640.0,331517660.0
1,22,47,208,503514186.0,297388118.0
1,22,1,355,539165894.0,490305700.0
1,3,9,250,597194531.0,337071525.0
2,23,6,265,837667180.0,401651580.0
2,18,42,230,687583114.0,604105701.0
4,15,53,316,1294143010.0,1419961020.0
4,13,53,253,331517660.0,622978313.0
2,20,26,258,297388118.0,758625837.0
5,11,51,296,490305700.0,1844817525.0
3,0,32,189,337071525.0,303557417.0
2,12,5,251,401651580.0,1380391354.0
5,4,46,352,604105701.0,360679784.0
5,3,29,247,1419961020.0,350988174.0
0,17,25,347,622978313.0,629004228.0
5,11,24,191,758625837.0,982135977.0
3,3,24,231,1844817525.0,354314340.0
0,5,51,277,303557417.0,414741982.0
2,5,8,314,1380391354.0,0.0
1,22,36,243,360679784.0,447911054.0
0,22,59,221,350988174.0,363781114.0
3,6,32,287,629004228.0,336438405.0
0,6,56,319,982135977.0,371481038.0
2,0,18,244,354314340.0,369781906.0
5,17,40,282,414741982.0,512754970.0
4,22,29,204,0.0,328533453.0
5,20,6,212,447911054.0,426156346.0
1,19,34,201,363781114.0,367689402.0
3,2,35,238,336438405.0,428433841.0
0,19,42,284,371481038.0,364318728.0
1,15,7,229,369781906.0,1437252634.0
5,18,35,303,512754970.0,546865844.0
0,6,25,235,328533453.0,352009782.0
3,22,35,301,426156346.0,479162343.0
4,23,51,232,367689402.0,367868400.0
4,17,58,218,428433841.0,618745226.0
5,23,39,240,364318728.0,447487832.0
2,23,9,216,1437252634.0,342470272.0
1,10,31,236,546865844.0,1458359490.0
1,7,1,285,352009782.0,331762277.0
0,0,7,312,479162343.0,516093811.0
0,23,30,228,367868400.0,323361516.0
0,21,44,228,618745226.0,319114771.0
1,22,58,341,447487832.0,572114988.0
3,1,29,217,342470272.0,344821580.0
5,19,41,268,1458359490.0,578490424.0
5,2,8,219,331762277.0,319368101.0
1,15,9,341,516093811.0,1566727017.0
5,15,40,219,323361516.0,635841924.0
5,16,33,240,319114771.0,539699271.0
1,20,41,327,572114988.0,503599652.0
4,19,50,246,344821580.0,520251656.0
3,12,38,308,578490424.0,1934098088.0
5,9,43,289,319368101.0,425167814.0
1,7,37,320,1566727017.0,597858198.0
3,21,1,266,635841924.0,725896912.0
0,12,31,235,539699271.0,1450643370.0
1,19,3,194,503599652.0,528281109.0
2,15,25,286,520251656.0,688548786.0
4,12,7,260,1934098088.0,1468102983.0
1,13,22,327,425167814.0,1422378826.0
1,14,0,229,597858198.0,1285514744.0
0,14,33,242,725896912.0,1753856232.0
4,1,40,190,1450643370.0,322228348.0
0,17,40,249,528281109.0,319099806.0
1,3,33,285,688548786.0,344040440.0
2,4,2,209,1468102983.0,319352855.0
