Weekday,hour,minute,day_of_year,Quantity-1,Power
1,3,40,222,508592512.0,374490196.0
1,13,43,201,440721444.0,1275983988.0
2,4,19,251,346608232.0,0.0
0,22,39,298,821532840.0,404124406.0
3,13,51,231,370551374.0,1604779910.0
1,16,21,327,462897200.0,1295864100.0
0,15,0,326,1594724408.0,1372316357.0
0,4,17,242,374490196.0,432347107.0
5,16,43,303,1275983988.0,520952126.0
0,10,26,256,0.0,1499078414.0
2,21,39,279,404124406.0,732028353.0
5,14,17,324,1604779910.0,837502380.0
5,21,44,254,1295864100.0,477421386.0
0,1,55,326,1372316357.0,381299504.0
2,9,42,258,432347107.0,1147805400.0
2,18,40,356,520952126.0,518829656.0
5,13,2,240,1499078414.0,1298976435.0
3,19,56,315,732028353.0,640892740.0
5,4,54,303,837502380.0,374645364.0
1,8,36,278,477421386.0,905176446.0
5,22,40,226,381299504.0,333440745.0
3,2,47,238,1147805400.0,458209757.0
5,11,34,247,518829656.0,1303689719.0
3,5,38,238,1298976435.0,516673390.0
5,20,46,282,640892740.0,576994986.0
1,13,5,215,374645364.0,1247526096.0
0,14,11,214,905176446.0,1313385047.0
4,13,1,239,333440745.0,1578809035.0
4,13,1,204,458209757.0,1285939056.0
3,7,54,252,1303689719.0,521146520.0
3,15,24,252,516673390.0,1620495548.0
3,9,33,231,576994986.0,1390246179.0
2,9,34,300,1247526096.0,1363986546.0
5,2,55,240,1313385047.0,476327616.0
1,22,59,306,1578809035.0,489041952.0
5,23,45,282,1285939056.0,512916804.0
0,22,57,221,521146520.0,364245552.0
0,14,44,221,1620495548.0,1420748728.0
4,21,9,190,1390246179.0,0.0
3,23,1,231,1363986546.0,369917462.0
4,4,20,274,476327616.0,508457400.0
0,21,21,235,489041952.0,579101645.0
1,16,32,222,512916804.0,1022337964.0
1,8,18,348,364245552.0,465892284.0
3,15,9,252,1420748728.0,1521900151.0
0,8,56,347,0.0,758948200.0
2,0,24,223,369917462.0,420474760.0
3,22,29,343,508457400.0,468985035.0
5,2,55,205,579101645.0,333315776.0
3,0,6,329,1022337964.0,552900944.0
1,20,24,355,465892284.0,699621400.0
1,4,54,313,1521900151.0,364105860.0
4,14,30,302,758948200.0,1471423461.0
1,3,49,201,420474760.0,317965123.0
0,19,57,284,468985035.0,356038188.0
1,2,18,264,333315776.0,418563012.0
0,0,15,312,552900944.0,472897996.0
4,1,16,218,699621400.0,418192571.0
5,10,10,282,364105860.0,1351715552.0
3,18,33,322,1471423461.0,533702032.0
5,5,29,268,317965123.0,328700205.0
1,16,4,215,356038188.0,1036129815.0
2,21,43,223,418563012.0,466111246.0
1,15,3,250,472897996.0,1364600221.0
2,15,26,300,418192571.0,1840885508.0
5,14,45,240,1351715552.0,0.0
0,3,20,221,533702032.0,341654728.0
3,22,35,189,328700205.0,306488219.0
4,14,50,274,1036129815.0,502136763.0
5,11,41,226,466111246.0,1328879168.0
4,22,20,190,1364600221.0,418590876.0
5,8,20,282,1840885508.0,618351066.0
1,20,20,222,0.0,470802760.0
3,21,13,280,341654728.0,392168248.0
5,16,43,268,306488219.0,1549844328.0
5,18,33,240,502136763.0,512493564.0
0,8,9,277,1328879168.0,681653322.0
3,15,54,224,418590876.0,1305504260.0
3,23,8,259,618351066.0,423628020.0
3,0,37,259,470802760.0,461200468.0
4,21,9,190,392168248.0,508546590.0
0,8,14,270,1549844328.0,669428356.0
4,2,13,239,512493564.0,443079282.0
4,6,8,232,681653322.0,141028950.0
4,21,43,211,1305504260.0,433616046.0
5,1,26,233,423628020.0,416052363.0
5,17,32,345,461200468.0,635929576.0
1,5,16,208,508546590.0,322548650.0
0,13,28,193,669428356.0,1092639370.0
3,11,58,315,443079282.0,1458779778.0
2,3,25,244,141028950.0,377435449.0
3,17,22,238,433616046.0,961769784.0
1,20,43,334,416052363.0,496378872.0
2,20,30,265,635929576.0,822948046.0
2,3,12,286,322548650.0,361046977.0
1,15,29,292,1092639370.0,1718530870.0
4,22,58,295,1458779778.0,670962746.0
3,13,37,196,377435449.0,1100603780.0
3,21,54,252,961769784.0,441222150.0
1,12,20,257,496378872.0,563224914.0
0,22,3,200,822948046.0,382980782.0
0,8,53,305,361046977.0,636012334.0
2,18,27,216,1718530870.0,621032270.0
5,16,39,345,670962746.0,755908716.0
2,9,54,244,1100603780.0,1325958735.0
5,19,15,212,441222150.0,495880708.0
3,17,4,224,563224914.0,867566145.0
0,19,31,312,382980782.0,671423543.0
2,8,56,272,636012334.0,1159238664.0
1,11,0,222,621032270.0,1503816760.0
0,1,52,249,755908716.0,365774199.0
3,19,2,217,1325958735.0,567185840.0
3,10,37,259,495880708.0,1398925946.0
0,19,17,235,867566145.0,705584060.0
4,9,10,239,671423543.0,1319611460.0
4,15,28,204,1159238664.0,1268011634.0
2,21,42,272,1503816760.0,613246474.0
0,23,29,200,365774199.0,334669996.0
3,6,0,294,567185840.0,343402896.0
0,9,3,354,1398925946.0,924565740.0
2,13,39,286,705584060.0,0.0
5,4,7,233,1319611460.0,450960352.0
3,9,0,336,1268011634.0,1033548558.0
1,6,56,250,613246474.0,416387742.0
4,8,55,302,334669996.0,1055200041.0
0,6,54,235,343402896.0,373417412.0
1,3,8,264,924565740.0,396921399.0
5,23,51,205,0.0,328350192.0
5,21,6,282,450960352.0,376096636.0
2,19,29,202,1033548558.0,513059358.0
5,11,31,198,416387742.0,1014880216.0
0,5,43,347,1055200041.0,384084086.0
3,4,40,196,373417412.0,322392913.0
0,15,26,333,396921399.0,1653549233.0
3,19,51,322,328350192.0,506391332.0
0,1,11,354,376096636.0,357457326.0
5,2,12,268,513059358.0,379641483.0
3,15,59,245,1014880216.0,1630087506.0
3,11,5,287,384084086.0,488241441.0
3,7,11,273,322392913.0,516057292.0
3,6,32,217,1653549233.0,426125325.0
0,21,58,214,506391332.0,344907996.0
0,19,9,270,357457326.0,940409154.0
4,19,40,232,379641483.0,618987850.0
1,14,43,271,1630087506.0,1673304214.0
3,9,52,329,488241441.0,1032444484.0
0,11,32,305,516057292.0,499175770.0
5,4,10,254,426125325.0,381422461.0
1,7,34,271,344907996.0,587535430.0
4,4,30,274,940409154.0,515585226.0
5,0,7,289,618987850.0,514118270.0
5,0,21,219,1673304214.0,339655104.0
0,15,51,354,1032444484.0,1157316070.0
2,9,38,216,499175770.0,1135883908.0
4,8,3,295,381422461.0,624216530.0
2,16,14,272,587535430.0,1237421999.0
3,16,33,231,515585226.0,1168416231.0
3,12,30,196,514118270.0,984141570.0
4,0,30,316,339655104.0,411330268.0
4,19,8,274,1157316070.0,766507479.0
5,17,41,198,1135883908.0,337600197.0
4,11,28,197,624216530.0,1295763171.0
4,19,24,351,1237421999.0,550711078.0
3,18,15,350,1168416231.0,604049296.0
3,14,59,203,984141570.0,1250014292.0
5,21,36,282,411330268.0,530000062.0
1,8,40,201,766507479.0,614821818.0
5,8,26,275,337600197.0,669041824.0
0,23,29,200,1295763171.0,334584397.0
1,11,19,243,550711078.0,1623264960.0
2,1,30,223,604049296.0,388702182.0
1,5,10,250,1250014292.0,493102590.0
1,7,15,285,530000062.0,442186374.0
1,3,7,250,614821818.0,326700760.0
0,15,12,256,669041824.0,701648317.0
3,3,52,273,334584397.0,621782082.0
5,3,33,240,1623264960.0,475643260.0
5,7,0,240,388702182.0,451254840.0
0,17,17,256,493102590.0,501644982.0
1,2,12,285,442186374.0,0.0
3,22,18,294,326700760.0,580006192.0
1,12,14,208,701648317.0,680523237.0
3,19,58,266,621782082.0,777025276.0
1,23,36,292,475643260.0,354691916.0
4,23,54,295,451254840.0,539757330.0
5,15,27,345,501644982.0,852018942.0
2,18,37,265,0.0,720425200.0
2,16,27,314,580006192.0,1227041626.0
5,21,41,317,680523237.0,594151480.0
0,23,13,214,777025276.0,391573356.0
3,2,50,287,354691916.0,347177979.0
0,2,17,228,539757330.0,355985980.0
0,15,53,277,852018942.0,1530362560.0
1,0,8,243,720425200.0,351439302.0
3,11,27,238,1227041626.0,1776333006.0
5,8,0,212,594151480.0,461946003.0
5,19,58,233,391573356.0,588925364.0
4,20,57,253,347177979.0,362884827.0
0,18,49,319,355985980.0,856607574.0
3,16,44,280,1530362560.0,1164029316.0
5,2,8,345,351439302.0,416237521.0
5,1,8,212,1776333006.0,349719990.0
3,18,40,266,461946003.0,1127471676.0
0,13,16,221,588925364.0,1411263048.0
1,14,38,271,362884827.0,1513833412.0
0,0,6,319,856607574.0,594069945.0
0,0,7,235,1164029316.0,396092930.0
2,4,27,251,416237521.0,355011216.0
5,16,15,240,349719990.0,593166212.0
0,7,37,354,1127471676.0,616955324.0
1,4,32,257,1411263048.0,333112394.0
1,7,29,320,1513833412.0,454701386.0
0,3,56,305,594069945.0,500474285.0
5,6,24,268,396092930.0,505420617.0
2,0,28,356,355011216.0,348515865.0
5,7,57,331,593166212.0,682111902.0
1,5,13,285,616955324.0,465647097.0
0,15,59,228,333112394.0,330031852.0
5,7,28,219,454701386.0,454353220.0
4,9,0,239,500474285.0,1144260812.0
5,4,29,212,505420617.0,369798652.0
5,23,36,331,348515865.0,339830424.0
1,3,26,271,682111902.0,345655310.0
0,5,59,340,465647097.0,347032440.0
4,9,5,190,330031852.0,727194912.0
2,16,37,342,454353220.0,1152688694.0
4,11,13,239,1144260812.0,1929131734.0
5,7,16,212,369798652.0,485486592.0
5,21,17,303,339830424.0,380587346.0
1,22,25,194,345655310.0,349691219.0
3,7,27,350,347032440.0,508301061.0
5,22,56,289,727194912.0,476326326.0
0,7,15,305,1152688694.0,331573400.0
0,0,15,340,1929131734.0,480557637.0
5,0,33,352,485486592.0,378944703.0
5,5,32,240,380587346.0,456286200.0
5,2,45,345,349691219.0,461520888.0
2,5,49,251,508301061.0,325410042.0
2,20,0,223,476326326.0,617773602.0
1,5,44,313,331573400.0,345854092.0
2,2,36,307,480557637.0,531598437.0
2,4,49,251,378944703.0,344986385.0
4,11,14,281,456286200.0,1251864286.0
5,21,3,268,461520888.0,467708994.0
0,23,51,284,325410042.0,332547857.0
3,14,42,231,617773602.0,1556320419.0
2,22,19,258,345854092.0,438373459.0
1,8,47,215,531598437.0,606659971.0
2,14,2,216,344986385.0,1410633160.0
3,21,9,273,1251864286.0,555028293.0
1,23,41,327,467708994.0,430254436.0
2,18,4,223,332547857.0,705466924.0
2,14,17,202,1556320419.0,1189059176.0
1,22,5,215,438373459.0,476123725.0
0,2,32,200,606659971.0,356785770.0
5,22,56,254,1410633160.0,525258230.0
0,19,38,333,555028293.0,591835664.0
5,20,27,240,430254436.0,516490899.0
2,7,22,209,705466924.0,426154353.0
5,5,5,324,1189059176.0,604760587.0
0,14,42,284,476123725.0,504206092.0
0,3,16,340,356785770.0,321519796.0
5,3,10,254,525258230.0,0.0
1,10,55,250,591835664.0,1422147770.0
3,2,55,231,516490899.0,375521588.0
3,16,1,280,426154353.0,1501139562.0
5,9,6,352,604760587.0,978697529.0
3,9,51,252,504206092.0,1322465796.0
1,6,2,285,321519796.0,376532496.0
1,1,20,348,0.0,338350956.0
2,8,53,356,1422147770.0,807108300.0
0,22,30,235,375521588.0,427717080.0
3,14,47,336,1501139562.0,1414401302.0
0,23,3,256,978697529.0,458364284.0
0,19,48,235,1322465796.0,585842838.0
4,14,45,288,376532496.0,508351544.0
3,13,58,238,338350956.0,1501893780.0
0,1,39,249,807108300.0,336594080.0
0,4,44,193,427717080.0,294752829.0
0,10,39,291,1414401302.0,1447765102.0
0,18,13,291,458364284.0,912440048.0
4,6,21,218,585842838.0,367758072.0
3,19,10,196,508351544.0,439085903.0
5,13,3,275,1501893780.0,1325923735.0
5,21,26,254,336594080.0,405434836.0
0,3,58,270,294752829.0,490671026.0
2,16,38,349,1447765102.0,1074581872.0
1,21,20,271,912440048.0,509106453.0
0,6,31,326,367758072.0,488442586.0
1,1,14,243,439085903.0,368821624.0
5,21,42,268,1325923735.0,693355420.0
2,3,56,258,405434836.0,491690966.0
3,12,2,245,490671026.0,1613081066.0
1,10,40,257,1074581872.0,408999520.0
2,4,55,244,509106453.0,351400999.0
1,8,53,292,488442586.0,1008208350.0
0,15,39,347,368821624.0,1020961169.0
2,2,44,251,693355420.0,495110855.0
3,3,44,231,491690966.0,364165755.0
2,12,51,195,1613081066.0,1080649558.0
0,23,41,228,408999520.0,0.0
5,3,18,247,351400999.0,349628637.0
0,16,22,256,1008208350.0,541643250.0
1,21,34,334,1020961169.0,524090598.0
3,11,0,252,495110855.0,1580839726.0
5,9,43,212,364165755.0,474422084.0
3,18,10,273,1080649558.0,826758236.0
3,12,21,252,0.0,1764723636.0
3,19,56,189,349628637.0,479565066.0
3,8,25,203,541643250.0,557824303.0
3,2,59,245,524090598.0,350899749.0
4,21,17,316,1580839726.0,527412950.0
2,8,13,321,474422084.0,778325488.0
1,10,48,285,826758236.0,310025536.0
2,14,53,251,1764723636.0,1279254671.0
